height,weight,age,male
151.765,47.8256065,63,1
139.7,36.4858065,63,0
136.525,31.864838,65,0
156.845,53.0419145,41,1
145.415,41.276872,51,0
163.83,62.992589,35,1
149.225,38.2434755,32,0
168.91,55.4799715,27,1
147.955,34.869885,19,0
165.1,54.487739,54,1
154.305,49.89512,47,0
151.13,41.220173,66,1
144.78,36.0322145,73,0
149.9,47.7,20,0
150.495,33.849303,65.3,0
163.195,48.5626935,36,1
157.48,42.3258035,44,1
143.9418,38.3568735,31,0
121.92,19.617854,12,1
105.41,13.947954,8,0
86.36,10.489315,6.5,0
161.29,48.987936,39,1
156.21,42.7226965,29,0
129.54,23.586784,13,1
109.22,15.989118,7,0
146.4,35.493574,56,1
148.59,37.9032815,45,0
147.32,35.4652245,19,0
137.16,27.328918,17,1
125.73,22.6796,16,0
114.3,17.860185,11,1
147.955,40.312989,29,1
161.925,55.111428,30,1
146.05,37.5063885,24,0
146.05,38.498621,35,0
152.7048,46.606578,33,0
142.875,38.838815,27,0
142.875,35.5786225,32,0
147.955,47.400364,36,0
160.655,47.8823055,24,1
151.765,49.4131785,30,1
162.8648,49.384829,24,1
171.45,56.5572525,52,1
147.32,39.12231,42,0
147.955,49.89512,19,0
144.78,28.803092,17,0
121.92,20.41164,8,1
128.905,23.359988,12,0
97.79,13.267566,5,0
154.305,41.2485225,55,1
143.51,38.55532,43,0
146.7,42.4,20,1
157.48,44.6504625,18,1
127,22.0105518,13,1
110.49,15.422128,9,0
97.79,12.757275,5,0
165.735,58.5984165,42,1
152.4,46.719976,44,0
141.605,44.22522,60,0
158.8,50.9,20,0
155.575,54.317642,37,0
164.465,45.8978405,50,1
151.765,48.024053,50,0
161.29,52.219779,31,1
154.305,47.62716,25,0
145.415,45.642695,23,0
145.415,42.410852,52,0
152.4,36.4858065,79.3,1
163.83,55.9335635,35,1
144.145,37.194544,27,0
129.54,24.550667,13,1
129.54,25.627948,14,0
153.67,48.307548,38,1
142.875,37.3362915,39,0
146.05,29.596878,12,0
167.005,47.173568,30,1
158.4198,47.286966,24,0
91.44,12.927372,0.6,1
165.735,57.549485,51,1
149.86,37.931631,46,0
147.955,41.900561,17,0
137.795,27.5840635,12,0
154.94,47.2019175,22,0
160.9598,43.204638,29,1
161.925,50.2636635,38,1
147.955,39.3774555,30,0
113.665,17.463292,6,1
159.385,50.689,45,1
148.59,39.4341545,47,0
136.525,36.28736,79,0
158.115,46.266384,45,1
144.78,42.2691045,54,0
156.845,47.62716,31,1
179.07,55.7067675,23,1
118.745,18.824068,9,0
170.18,48.5626935,41,1
146.05,42.807745,23,0
147.32,35.0683315,36,0
113.03,17.8885345,5,1
162.56,56.755699,30,0
133.985,27.442316,12,1
152.4,51.255896,34,0
160.02,47.230267,44,1
149.86,40.936678,43,0
142.875,32.715323,73.3,0
167.005,57.0675435,38,1
159.385,42.977842,43,1
154.94,39.9444455,33,0
148.59,32.4601775,16,0
111.125,17.123098,11,1
111.76,16.499409,6,1
162.56,45.9545395,35,1
152.4,41.106775,29,0
124.46,18.257078,12,0
111.76,15.081934,9,1
86.36,11.4815475,7.6,1
170.18,47.5988105,58,1
146.05,37.5063885,53,0
159.385,45.019006,51,1
151.13,42.2691045,48,0
160.655,54.8562825,29,1
169.545,53.523856,41,1
158.75,52.1914295,81.75,1
74.295,9.752228,1,1
149.86,42.410852,35,0
153.035,49.5832755,46,0
96.52,13.097469,5,1
161.925,41.730464,29,1
162.56,56.018612,42,1
149.225,42.1557065,27,0
116.84,19.391058,8,0
100.076,15.081934,6,1
163.195,53.0986135,22,1
161.925,50.235314,43,1
145.415,42.52425,53,0
163.195,49.101334,43,1
151.13,38.498621,41,0
150.495,49.8100715,50,0
141.605,29.313383,15,1
170.815,59.760746,33,1
91.44,11.7083435,3,0
157.48,47.9390045,62,1
152.4,39.292407,49,0
149.225,38.1300775,17,1
129.54,21.999212,12,0
147.32,36.8826995,22,0
145.415,42.127357,29,0
121.92,19.787951,8,0
113.665,16.782904,5,1
157.48,44.565414,33,1
154.305,47.853956,34,0
120.65,21.1770765,12,0
115.6,18.9,7,1
167.005,55.1964765,42,1
142.875,32.998818,40,0
152.4,40.879979,27,0
96.52,13.267566,3,0
160,51.2,25,1
159.385,49.044635,29,1
149.86,53.4388075,45,0
160.655,54.090846,26,1
160.655,55.3665735,45,1
149.225,42.240755,45,0
125.095,22.3677555,11,0
140.97,40.936678,85.6,0
154.94,49.6966735,26,1
141.605,44.338618,24,0
160.02,45.9545395,57,1
150.1648,41.95726,22,0
155.575,51.482692,24,0
103.505,12.757275,6,0
94.615,13.0124205,4,0
156.21,44.111822,21,0
153.035,32.205032,79,0
167.005,56.755699,50,1
149.86,52.673371,40,0
147.955,36.4858065,64,0
159.385,48.8461885,32,1
161.925,56.9541455,38.7,1
155.575,42.0990075,26,0
159.385,50.178615,63,1
146.685,46.549879,62,0
172.72,61.80191,22,1
166.37,48.987936,41,1
141.605,31.524644,19,1
142.875,32.205032,17,0
133.35,23.756881,14,0
127.635,24.4089195,9,1
119.38,21.5172705,7,1
151.765,35.2951275,74,0
156.845,45.642695,41,1
148.59,43.885026,33,0
157.48,45.5576465,53,0
149.86,39.008912,18,0
147.955,41.163474,37,0
102.235,13.1258185,6,0
153.035,45.245802,61,0
160.655,53.637254,44,1
149.225,52.3048275,35,0
114.3,18.3421265,7,1
100.965,13.7495075,4,1
138.43,39.0939605,23,0
91.44,12.530479,4,1
162.56,45.699394,55,1
149.225,40.3980375,53,0
158.75,51.482692,59,1
149.86,38.668718,57,0
158.115,39.235708,35,1
156.21,44.338618,29,0
148.59,39.519203,62,1
143.51,31.071052,18,0
154.305,46.776675,51,0
131.445,22.509503,14,0
157.48,40.6248335,19,1
157.48,50.178615,42,1
154.305,41.276872,25,0
107.95,17.57669,6,1
168.275,54.6,41,1
145.415,44.9906565,37,0
147.955,44.735511,16,0
100.965,14.401546,5,1
113.03,19.050864,9,1
149.225,35.8054185,82,1
154.94,45.2174525,28,1
162.56,48.1091015,50,1
156.845,45.6710445,43,0
123.19,20.808533,8,1
161.0106,48.420946,31,1
144.78,41.1918235,67,0
143.51,38.4135725,39,0
149.225,42.127357,18,0
110.49,17.6617385,11,0
149.86,38.2434755,48,0
165.735,48.3358975,30,1
144.145,38.9238635,64,0
157.48,40.029494,72,1
154.305,50.2069645,68,0
163.83,54.2892925,44,1
156.21,45.6,43,0
153.67,40.766581,16,0
134.62,27.1304715,13,0
144.145,39.4341545,34,0
114.3,20.4966885,10,0
162.56,43.204638,62,1
146.05,31.864838,44,0
120.65,20.8935815,11,1
154.94,45.4442485,31,1
144.78,38.045029,29,0
106.68,15.989118,8,0
146.685,36.0889135,62,0
152.4,40.879979,67,0
163.83,47.910655,57,1
165.735,47.7122085,32,1
156.21,46.379782,24,0
152.4,41.163474,77,1
140.335,36.5992045,62,0
158.115,43.09124,17,1
163.195,48.137451,67,1
151.13,36.7126025,70,0
171.1198,56.5572525,37,1
149.86,38.6970675,58,0
163.83,47.4854125,35,1
141.605,36.2023115,30,0
93.98,14.288148,5,0
149.225,41.276872,26,0
105.41,15.2236815,5,0
146.05,44.7638605,21,0
161.29,50.4337605,41,1
162.56,55.281525,46,1
145.415,37.931631,49,0
145.415,35.493574,15,1
170.815,58.456669,28,1
127,21.488921,12,0
159.385,44.4236665,83,0
159.4,44.4,54,1
153.67,44.565414,54,0
160.02,44.622113,68,1
150.495,40.483086,68,0
149.225,44.0834725,56,0
127,24.4089195,15,0
142.875,34.416293,57,0
142.113,32.772022,22,0
147.32,35.947166,40,0
162.56,49.5549,19,1
164.465,53.183662,41,1
160.02,37.081146,75.9,1
153.67,40.5114355,73.9,0
167.005,50.6038575,49,1
151.13,43.9700745,26,1
147.955,33.792604,17,0
125.3998,21.375523,13,0
111.125,16.669506,8,0
153.035,49.89,88,1
139.065,33.5941575,68,0
152.4,43.8566765,33,1
154.94,48.137451,26,0
147.955,42.751046,56,0
143.51,34.8415355,16,1
